Day,Start,End,Event,Room,GM,GM2,Event Type,# of People,Description
2.Thursday,2:00 PM,4:00 PM,Werewolf for Teens,Bonaire 3,Eat Villagers,,Event,,Werewolf for Teenagers
2.Thursday,2:00 PM,3:00 PM,Homebrewers,Bonaire 4,Greater Than Games,,,5,
2.Thursday,2:00 PM,3:00 PM,Legends of Sleepy Hollow,Bonaire 4,Greater Than Games,,,4,
2.Thursday,2:00 PM,3:30 PM,"Battle of Freeman's Farm Tricorne American Revolution",Curacao I & II,Jim Riley,,,4,
2.Thursday,2:00 PM,6:00 PM,Ticket to Ride Tournament,Boca I & II,Joseph Rose,Steve Hines,,,
2.Thursday,2:00 PM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
2.Thursday,2:00:00 PM,3:00:00 PM,Cosmic Run: Regeneration,Bonaire 2,Steve Finn,,Event,4,"Race through space in this dice and board game from, Dr. Finn's Games."
2.Thursday,2:00 PM,5:00 PM,"Battle of Tewkesbury EPIC BattleLore",Curacao I & II,Steve Zaccardi,,,8,
2.Thursday,2:00 PM,6:00 PM,Pathfinder Society Scenario #8-16: House of Harmonious Wisdom,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
2.Thursday,2:00 PM,6:00 PM,Pathfinder Society Scenario #4–19: The Night March of Kalkamedes,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
2.Thursday,2:00 PM,6:00 PM,Starfinder Society Scenario #1-30: Survivor's Salvation,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
2.Thursday,3:00 PM,4:00 PM,Panel - Werewolf Game Creation,Caribbean Ballroom V-VII,Eat Villagers,,,,Panel on Making a Custom Werewolf Game
2.Thursday,3:00 PM,4:00 PM,Homebrewers,Bonaire 4,Greater Than Games,,,5,
2.Thursday,3:00 PM,4:00 PM,Legends of Sleepy Hollow,Bonaire 4,Greater Than Games,,,4,
2.Thursday,3:00:00 PM,4:00:00 PM,Cosmic Run: Rapid Fire,Bonaire 6,Steve Finn,,Event,2,Race through space in this fun roll and write from Dr. Finn's Games
2.Thursday,3:30 PM,5:00 PM,"Battle of Savannah Tricorne American Revolution",Curacao I & II,Jim Riley,,,4,
2.Thursday,4:00 PM,5:00 PM,Homebrewers,Bonaire 4,Greater Than Games,,,5,
2.Thursday,4:00 PM,5:00 PM,Legends of Sleepy Hollow,Bonaire 4,Greater Than Games,,,4,
2.Thursday,4:00:00 PM,5:00:00 PM,Little Flower Shop,Bonaire 6,Steve Finn,,Event,5,Decorate your flower shop window in this card drafting game from Dr. Finn's Games. It's like Sushi-Go in a flower shop.
2.Thursday,4:00 PM,7:00 PM,Zombicide Black Plague in the Dungeon,Bonaire 5,Wilbert Kies,,Event,8,Can you plunder the gold and escape before being overcome by the zombie horde?  Open to all experience levels. Will teach people new to the game.
2.Thursday,4:00 PM,5:00 PM,Virtual Flea Market,Boca 5-8,,,,,This is your last chance to do your exchanges
2.Thursday,5:00 PM,5:15 PM,Announcements,EVERYWHERE, ,,,,
2.Thursday,5:00 PM,6:30 PM,"Battle of Guilford Tricorne American Revolution",Curacao I & II,Jim Riley,,,4,
2.Thursday,6:00 PM,8:30 PM,Safari Turbo,Bonaire 2,Omar Tarancon,,,,"4 Tables, 3 players per table"
2.Thursday,7:00 PM,8:30 PM,Designer/Publisher Speed Dating,Boca III-IV,Matt Holden,,,15,Must pre-register for one of the 15 spots.
2.Thursday,7:00 PM,11:00 PM,"Pathfinder Society Scenario #9-16: Fallen Family, Broken Name",Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
2.Thursday,7:00 PM,11:00 PM,Pathfinder Society Scenario #10-20: Countdown to Round Mountain,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
2.Thursday,7:00 PM,11:00 PM,Starfinder Society Scenario #1-25: The Beacon Code Dilemma,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
